productcode,freeaccessories
tapered-headset-kit-maxi-28mm,"1.85mm-head-set-spacer-25mm(2),1mm-head-set-spacer-25mm(1),25mm-headset-bearing-3514(2),ebr-lower-yoke-28mm-25mm(1),headset-seal-1013(2),maxi-taper-headset-cup-LOWER(1),maxi-taper-headset-cup-UPPER(1),stainless-top-nut-25mm(1)"
tapered-headset-kit-maxi,"1.85mm-head-set-spacer-25mm(2),1mm-head-set-spacer-25mm(1),25mm-headset-bearing-3514(2),ebr-lower-yoke-30mm-25mm(1),headset-seal-1013(2),maxi-taper-headset-cup-LOWER(2),stainless-top-nut-25mm(1)"
moped-wiring-party,"1/2-IN-TUBING(4),1/4-IN-TUBING(10),16-gauge-wire-black(8),16-gauge-wire-blue(8),16-gauge-wire-brown(8),16-gauge-wire-green(8),16-gauge-wire-red(8),16-gauge-wire-yellow(8),6-terminal-wire-connector(1)"
peugeot-soiree,"103-doppler-crankshaft-263951(1),flange-nut-m7-not-serrated-no(4),peugeot-case-complete-set(1),peugeot-teknix-50cc-kit(1),peugeot-teknix-head-50cc(1)"
peugeot-SHA-party,"103-polini-intake-sha-215.0224(1),almost-the-smallest-knarp(1),dellorto-sha-15.15-cable-2045(1),moped-cable-throttle-bendy-50(2)"
peugeot-polini-case-party,"103-polini-spring-pm.202.015(1),peugeot-fag-bearings-seals(1),peugeot-polini-case-170.0090(1),pgt-polini-lever-pm.202.020(1),polini-engine-stud-317.0102(4)"
puch-sil-5-star-drum-rear-pak,"12mm-axle-spacer-13.3mm(1),M8-allen-bolt-0001(5),moped-bearing-6001-wheel(2),new-puch-grimeca-5star-rim-sil(1),puch-5-star-rear-hub-spacer(1),puch-noodie-rear-hub(1),quality-12mm-axle-200mm(1),thick-axle-washer(6)"
puch-MAXI-disc-front-end,"12mm-axle-spacer-26mm-long(1),blk-spacer-245-255-12(1),ebr-hydro-fork-spacer(1),flat-washers-M8(1),M8-hex-bolts-partial-0001(1),M8-hex-bolts-partial-0009(5),metric-coupler-nuts-0003(5),mike-thomas-disk-rotor-only(1),mike-thomas-hub-only-blllllack(1),mike-thomas-SPACER-version-2(1),moped-axle-nut-12-19(2),new-puch-grimeca-5star-rim-blk(1),sil-front-brake-caliper-88061(1),split-lock-washers-M8(5),thick-axle-washer(3),tomos-ebr-short-black-disc(1),tomos-rear-axle-220mm-232868(1),tomos-sealed-bearing-6201(2)"
puch-MAXI-disc-party-silver,"12mm-axle-spacer-26mm-long(1),blk-spacer-245-255-12(1),flat-washers-M8(5),M8-hex-bolts-fully-35mm(1),M8-hex-bolts-partial-0009(5),metric-coupler-nuts-0003(5),mike-thomas-center-SPACER-only(1),mike-thomas-disk-rotor-only(1),mike-thomas-hub-only-blllllack(1),moped-axle-nut-12-19(2),new-puch-grimeca-5star-rim-sil(1),split-lock-washers-M8(5),thick-axle-washer(3),tomos-brake-assembly-236898(1),tomos-ebr-short-black-disc(1),tomos-rear-axle-220mm-232868(1),tomos-sealed-bearing-6201(2)"
mike-t-special-party-silver,"12mm-axle-spacer-26mm-long(1),blk-spacer-245-255-12(1),flat-washers-M8(5),M8-hex-bolts-fully-35mm(1),M8-hex-bolts-partial-0009(5),metric-coupler-nuts-0003(5),mike-thomas-center-SPACER-only(1),mike-thomas-disk-rotor-only(1),mike-thomas-hub-only-blllllack(1),moped-axle-nut-12-19(2),new-puch-grimeca-5star-rim-sil(1),split-lock-washers-M8(5),thick-axle-washer(3),tomos-brake-assembly-236898(1),tomos-rear-axle-220mm-232868(1),tomos-sealed-bearing-6201(2)"
